esid,metaid,nosleep.findings,finding,year,first.author,sampletype,country,population,study.design,follow.up.yr,study.descript,totaln,time2.n,age.m,percentfemale,comparison,data.loc,sleepSTB.compareONLY,grp.notes,basicSTB,STBconstruct,STB.measure,STBmethod,STBdichot,sleepconstruct,addtinsom.sleep,basicsleepcon,sleep.measure,sleepmethod,sleepdichot,covar.adjusted,suicgrp.tot.n,suicgrp.m,suicgrp.sd,suicgrp.percent,suicgrp.corr,suicgrp.tau,suicgrp.StdBeta,sucigrp.b,suicgrp.SE,suicgrp.R2,suicgrp.HazR,scuigrp.RiskR,suicgrp.OR,suicgrp.CI.low,suicgrp.CI.high,suicgrp.tstat,scuigrp.X2,case.n,case.m,case.sd,case.percent,case.corr,case.StdBeta,case.OR,case.HazRatio,case.CI.low,case.CI.high,case.X2,case.tstat,ctrl.n,ctrl.m,ctrl.sd,ctrl.percent,ctrl.corr,ctrl.StdBeta,ctrl.OR,ctrl.CI.low,ctrl.CI.high,ctrl.tstat,ctrl.X2,othergrp.n,othergrp.m,othergrp.sd,othergrp.percent,othergrp.corr,othergrp.StdB,othergrp.OR,othergrp.CI.low,othergrp.CI.high,othergrp.tstat,othergrp.X2,othergrp2.n,othergrp2.m,othergrp2.sd,othergrp2.percent,othergrp2.corr,othergrp2.StdBeta,othergrp2.OR,othergrp2.CI.low,othergrp2.CI.high,othergrp2.tstat,othergrp2.X2,othergrp3.n,othergrp3.m,othergrp3.sd,othergrp3.percent,othergrp3.corr,othergrp3.StdBeta,othergrp3.OR,othergrp3.CI.low,othergrp3.CI.high,othergrp3.tstat,othergrp3.X2
515,122,1,1,2009,Pompili,Clinical (SD Only),Italy,Adult,Psychological Autopsy,,,40,NA,NA,NA,CaseCtrl,CaseCtrl,no,,SD,SD,no measure,Medical Record,Categorical,Insomnia,Insomnia,Insomnia,no measure,Medical Record,Categorical,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,40,NA,NA,12.66,NA,1.4,114.41,NA,NA,40,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
516,123,1,1,2014,Racine,Clinical,Canada?,Adult,Cross-sectional,,,88,NA,53.3,66,CaseCtrl,CaseCtrl,no,,SI,SI,no measure,Self-report,Categorical,Sleep quality (PSQI),Sleep quality,Sleep quality,PSQI,self-report,Continuous,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,15.1,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,11.9,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
517,143,6,1,2004,Smith,Clinical,USA,Adult,Cross-sectional,,,51,NA,NA,NA,CaseCtrl,CaseCtrl,no,,SI,SI,BDI-II,Self-report,Categorical,Global severity,Sleep disturbance,Sleep disturbance,PSQI,self-report,Continuous,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12.5,3.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,10.97,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
518,143,6,2,2004,Smith,Clinical,USA,Adult,Cross-sectional,,,51,NA,NA,NA,CaseCtrl,CaseCtrl,no,,SI,SI,BDI-II,Self-report,Categorical,Sleep quality,Sleep quality,Sleep quality,PSQI,self-report,Continuous,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,2.2,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,1.72,4.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
519,143,6,3,2004,Smith,Clinical,USA,Adult,Cross-sectional,,,51,NA,NA,NA,CaseCtrl,CaseCtrl,no,,SI,SI,BDI-II,Self-report,Categorical,Sleep latency,Sleep latency,Sleep latency,PSQI,self-report,Continuous,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,2.6,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,1.72,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
520,143,6,4,2004,Smith,Clinical,USA,Adult,Cross-sectional,,,51,NA,NA,NA,CaseCtrl,CaseCtrl,no,,SI,SI,BDI-II,Self-report,Categorical,Sleep duration,Sleep duration,Sleep duration,PSQI,self-report,Continuous,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1.33,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,1.46,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
521,143,6,5,2004,Smith,Clinical,USA,Adult,Cross-sectional,,,51,NA,NA,NA,CaseCtrl,CaseCtrl,no,,SI,SI,BDI-II,Self-report,Categorical,Sleep efficiency,Sleep efficiency,Sleep efficiency,PSQI,self-report,Continuous,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1.38,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,1.49,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
522,143,6,6,2004,Smith,Clinical,USA,Adult,Cross-sectional,,,51,NA,NA,NA,CaseCtrl,CaseCtrl,no,,SI,SI,BDI-II,Self-report,Categorical,Sleep disturbance,Sleep disturbance,Sleep disturbance,PSQI,self-report,Continuous,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,2.2,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,2,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
523,154,1,1,2002,Turvey,Community,,Adult,Prospective,10 year,,420,NA,NA,NA,CaseCtrl,CaseCtrl,no,,SD,Suicide Death,no measure,Medical Record,Categorical,sleep quality,Sleep quality,Sleep quality,no measure,self-report,Continuous,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,12,NA,NA,NA,NA,0.72,NA,0.058,0.87,NA,NA,400,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
524,160,1,1,2015,Weis,Community,USA,Adult,Cross-sectional,,,460,NA,25.6,74.1,CaseCtrl,CaseCtrl,no,,Suicidality,Suicidality,Suicidal Behaviors Questionnaire–Revised (SBQ-R ,Self-report,Categorical,Poor sleep quality (PSQI),Sleep quality,Sleep quality,PSQI,self-report,Continuous,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,59,NA,NA,2.67,NA,1.35,5.27,NA,NA,410,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
525,161,6,1,2014,Wigg,Clinical,,Adult,Cross-sectional,,,98,NA,39.7,39.7,CaseCtrl,CaseCtrl,no,,SI,SI,BDI-II,Self-report,Categorical,Sleep quality,Sleep quality,Sleep quality,PSQI,self-report,Continuous,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,2,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,1.1,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
526,161,6,2,2014,Wigg,Clinical,,Adult,Cross-sectional,,,98,NA,39.7,39.7,CaseCtrl,CaseCtrl,no,,SI,SI,BDI-II,Self-report,Categorical,Sleep latency,Sleep latency,Sleep latency,PSQI,self-report,Continuous,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,1.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,1.1,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
527,161,6,3,2014,Wigg,Clinical,,Adult,Cross-sectional,,,98,NA,39.7,39.7,CaseCtrl,CaseCtrl,no,,SI,SI,BDI-II,Self-report,Categorical,Sleep duration,Sleep duration,Sleep duration,PSQI,self-report,Continuous,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,1.1,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,0.7,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
528,161,6,4,2014,Wigg,Clinical,,Adult,Cross-sectional,,,98,NA,39.7,39.7,CaseCtrl,CaseCtrl,no,,SI,SI,BDI-II,Self-report,Categorical,Sleep efficiency,Sleep efficiency,Sleep efficiency,PSQI,self-report,Continuous,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,0.6,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,0.3,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
529,161,6,5,2014,Wigg,Clinical,,Adult,Cross-sectional,,,98,NA,39.7,39.7,CaseCtrl,CaseCtrl,no,,SI,SI,BDI-II,Self-report,Categorical,Sleep disturbance,Sleep disturbance,Sleep disturbance,PSQI,self-report,Continuous,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,1.9,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,1.4,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
530,161,6,6,2014,Wigg,Clinical,,Adult,Cross-sectional,,,98,NA,39.7,39.7,CaseCtrl,CaseCtrl,no,,SI,SI,BDI-II,Self-report,Categorical,Global severity,Sleep disturbance,Sleep disturbance,PSQI,self-report,Continuous,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,9.5,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,6.2,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
531,163,9,1,2009,Wojnar,Clinical,USA,Adult,Cross-sectional,,,5692,NA,NA,NA,SuicSleepvsSuicNoSleep,SuicGrpCaseOthergrp,no,Suicgrp: Y DIS & Y SI; Othergrp: N DIS & Y SI,SI,SI,no measure,Self-report,Categorical,Difficulty initiating sleep ,Difficulty initiating sleep ,Insomnia,no measure,self-report,Categorical,,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,4,6.5,NA,259.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
532,163,9,2,2009,Wojnar,Clinical,USA,Adult,Cross-sectional,,,5692,NA,NA,NA,SuicSleepvsSuicNoSleep,SuicGrpCaseOthergrp,no,Suicgrp: Y DIS & Y SI; Othergrp: N DIS & Y SI,SP,SP,no measure,Self-report,Categorical,Difficulty initiating sleep ,Difficulty initiating sleep ,Insomnia,no measure,self-report,Categorical,,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.1,5.5,15,NA,116.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
533,163,9,3,2009,Wojnar,Clinical,USA,Adult,Cross-sectional,,,5692,NA,NA,NA,SuicSleepvsSuicNoSleep,SuicGrpCaseOthergrp,no,Suicgrp: Y DIS & Y SI; Othergrp: N DIS & Y SI,SA,SA,no measure,Self-report,Categorical,Difficulty initiating sleep ,Difficulty initiating sleep ,Insomnia,no measure,self-report,Categorical,,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,4.3,13.4,NA,65.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
534,163,9,4,2009,Wojnar,Clinical,USA,Adult,Cross-sectional,,,5692,NA,NA,NA,SuicSleepvsSuicNoSleep,SuicGrpCaseOthergrp,no,Suicgrp: Y DMS & Y SI; Othergrp: N DMS & Y SI,SI,SI,no measure,Self-report,Categorical,Difficulty maintaining sleep ,Difficulty maintaining sleep ,Insomnia,no measure,self-report,Categorical,,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,3.3,5.5,NA,139.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
535,163,9,5,2009,Wojnar,Clinical,USA,Adult,Cross-sectional,,,5692,NA,NA,NA,SuicSleepvsSuicNoSleep,SuicGrpCaseOthergrp,no,Suicgrp: Y DMS & Y SI; Othergrp: N DMS & Y SI,SP,SP,no measure,Self-report,Categorical,Difficulty maintaining sleep ,Difficulty maintaining sleep ,Insomnia,no measure,self-report,Categorical,,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,2.9,9.8,NA,35.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
536,163,9,6,2009,Wojnar,Clinical,USA,Adult,Cross-sectional,,,5692,NA,NA,NA,SuicSleepvsSuicNoSleep,SuicGrpCaseOthergrp,no,Suicgrp: Y DMS & Y SI; Othergrp: N DMS & Y SI,SA,SA,no measure,Self-report,Categorical,Difficulty maintaining sleep ,Difficulty maintaining sleep ,Insomnia,no measure,self-report,Categorical,,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,4.1,14,NA,50.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
537,163,9,7,2009,Wojnar,Clinical,USA,Adult,Cross-sectional,,,5692,NA,NA,NA,SuicSleepvsSuicNoSleep,SuicGrpCaseOthergrp,no,Suicgrp: Y EMA & Y SI; Othergrp: N  EMA & Y SI,SI,SI,no measure,Self-report,Categorical,Early morning awakening,Early morning awakening,Insomnia,no measure,self-report,Categorical,,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,3.2,5.5,NA,115.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
538,163,9,8,2009,Wojnar,Clinical,USA,Adult,Cross-sectional,,,5692,NA,NA,NA,SuicSleepvsSuicNoSleep,SuicGrpCaseOthergrp,no,Suicgrp: Y EMA & Y SI; Othergrp: N  EMA & Y SI,SP,SP,no measure,Self-report,Categorical,Early morning awakening,Early morning awakening,Insomnia,no measure,self-report,Categorical,,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,3.7,10.2,NA,63.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
539,163,9,9,2009,Wojnar,Clinical,USA,Adult,Cross-sectional,,,5692,NA,NA,NA,SuicSleepvsSuicNoSleep,SuicGrpCaseOthergrp,no,Suicgrp: Y EMA & Y SI; Othergrp: N  EMA & Y SI,SA,SA,no measure,Self-report,Categorical,Early morning awakening,Early morning awakening,Insomnia,no measure,self-report,Categorical,,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,3.5,12.4,NA,43.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
540,165,2,1,2011,Wong,Community,USA,Adolescent,Prospective,3 years,,392,NA,NA,NA,SuicGrp,SuicGrp,yes,,SI,SI (ages 15-17),YSR,Self-report,Categorical,Trouble sleeping (ages 12-14),Sleep disturbance,Sleep disturbance,YSR,self-report,Categorical,,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.44,1.03,5.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
541,165,2,2,2011,Wong,Community,USA,Adolescent,Prospective,3 years,,392,NA,NA,NA,SuicGrp,SuicGrp,yes,,SI,SI (ages 15-17),YSR,Self-report,Categorical,Nightmares (ages 12-14),Nightmares,Nightmares,YSR,self-report,Categorical,,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,0.2,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
542,167,1,1,2014,Woosley,Community,USA,Adult,Cross-sectional,,,766,NA,53.48,51,SuicGrp,SuicGrp,yes,,SI,SI,BDI-II,Self-report,Continuous,Insomnia,Insomnia,Insomnia,Sleep diary?,self-report,Categorical,yes,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
543,172,2,1,1996,Ahrens,Clinical,Germany?,Adult,Cross-sectional,,,4303,NA,NA,NA,SuicGrp,SuicGrp,yes,,Suicidality,Suicidality,Unknown,Unknown,Categorical,shortened sleep (in affective disorders),Sleep duration,Sleep duration,Unknown,Unknown,Categorical,,620,NA,NA,NA,NA,NA,0.1682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
544,172,2,2,1996,Ahrens,Clinical,Germany?,Adult,Cross-sectional,,,4303,NA,NA,NA,SuicGrp,SuicGrp,yes,,Suicidality,Suicidality,Unknown,Unknown,Categorical,Circadian disturbance (in schiozphrenia),Circadian Disturbance,Circadian Disturbance,Unknown,Unknown,Categorical,,399,NA,NA,NA,NA,NA,2.0413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545,178,3,1,2014,Barnes,Community,USA,Adolescent,Cross-sectional,,,287,NA,15.75,50,SuicGrp,SuicGrp,yes,,SI,Past year SI,no measure,Self-report,Categorical,Long sleep duration,Sleep duration,Sleep duration,no measure,Self-report,Categorical,yes,567,NA,NA,NA,NA,NA,NA,-0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
546,178,3,2,2014,Barnes,Community,USA,Adolescent,Cross-sectional,,,287,NA,NA,NA,SuicGrp,SuicGrp,yes,unsure about n for sleep duration,SI,Past year SI,no measure,Self-report,Categorical,Sleep 6 h or less,Sleep duration,Sleep duration,no measure,Self-report,Categorical,yes,567,NA,NA,NA,NA,NA,NA,0.96,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
547,178,3,3,2014,Barnes,Community,USA,Adolescent,Cross-sectional,,,287,NA,NA,NA,SuicGrp,SuicGrp,yes,unsure about n for sleep duration,SI,Past year SI,no measure,Self-report,Categorical,Sleep 7 hr,Sleep duration,Sleep duration,no measure,Self-report,Categorical,yes,567,NA,NA,NA,NA,NA,NA,0.29,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
548,179,1,1,1975,Barraclough,Clinical,England,Adult,Psychological Autopsy,,,192,NA,NA,NA,CaseCtrl,CaseCtrl,yes,,SD,Suicide Death,no measure,Medical Record,Categorical,Insomnia,Insomnia,Insomnia,no measure,Informant Report for SD; Interview for Ctrl,Categorical,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,128,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
549,187,3,1,2013,Betts,Clinical,Austraila,Adult,Prospective,21 years,,2465,NA,NA,NA,SuicGrp,SuicGrp,yes,,SI,SI,Achenbach Young Adult Self-Report ,Self-report,Categorical,Nightwalking,Nightwalking,Nightwalking,no measure,Self-report,Unclear,,200,NA,NA,NA,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
550,187,3,2,2013,Betts,Clinical,Austraila,Adult,Prospective,21 years,,2465,NA,NA,NA,SuicGrp,SuicGrp,yes,,SI,SI,no measure,Self-report,Categorical,Restless sleep,Sleep disturbance,Sleep disturbance,no measure,Self-report,Unclear,,200,NA,NA,NA,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
